Period,variable_model,VariableName,Activity,Spend
3/2/2015,Facebook1,Facebook,8753955,153
3/9/2015,Facebook1,Facebook,5295171,92
3/16/2015,Facebook1,Facebook,9574044,167
3/23/2015,Facebook1,Facebook,0,0
3/30/2015,Facebook1,Facebook,0,0
4/6/2015,Facebook1,Facebook,0,0
4/13/2015,Facebook1,Facebook,11504439,255
4/20/2015,Facebook1,Facebook,5625945,125
4/27/2015,Facebook1,Facebook,10241105,227
5/4/2015,Facebook1,Facebook,15524325,394
5/11/2015,Facebook1,Facebook,19298410,490
5/18/2015,Facebook1,Facebook,14182773,360
5/25/2015,Facebook1,Facebook,9559092,243
6/1/2015,Facebook1,Facebook,0,0
6/8/2015,Facebook1,Facebook,0,0
6/15/2015,Facebook1,Facebook,7628776,227
6/22/2015,Facebook1,Facebook,0,0
6/29/2015,Facebook1,Facebook,22813503,574
7/6/2015,Facebook1,Facebook,17641889,444
7/13/2015,Facebook1,Facebook,6329283,159
7/20/2015,Facebook1,Facebook,32047886,806
7/27/2015,Facebook1,Facebook,37094851,933
8/3/2015,Facebook1,Facebook,38649340,1048
8/10/2015,Facebook1,Facebook,21177270,574
8/17/2015,Facebook1,Facebook,15443832,419
8/24/2015,Facebook1,Facebook,6505043,176
8/31/2015,Facebook1,Facebook,23630695,550
9/7/2015,Facebook1,Facebook,19776493.2,460
9/14/2015,Facebook1,Facebook,22952496,534
9/21/2015,Facebook1,Facebook,33373896.6,776
9/28/2015,Facebook1,Facebook,28183653,709
10/5/2015,Facebook1,Facebook,22245639,559
10/12/2015,Facebook1,Facebook,24376835.4,613
10/19/2015,Facebook1,Facebook,24070989.6,605
10/26/2015,Facebook1,Facebook,17147335.2,431
11/2/2015,Facebook1,Facebook,34285184.7,929
11/9/2015,Facebook1,Facebook,49651995.12,1346
11/16/2015,Facebook1,Facebook,66310487.88,1798
11/23/2015,Facebook1,Facebook,6943135.68,188
11/30/2015,Facebook1,Facebook,21576784.32,502
12/7/2015,Facebook1,Facebook,33814516.32,787
12/14/2015,Facebook1,Facebook,30636388.12,713
12/21/2015,Facebook1,Facebook,32611538.96,759
12/28/2015,Facebook1,Facebook,21045398.4,490
1/4/2016,Facebook1,Facebook,13399468.8,211
1/11/2016,Facebook1,Facebook,16880251.2,265
1/18/2016,Facebook1,Facebook,16459590.6,259
1/25/2016,Facebook1,Facebook,28296837.6,445
2/1/2016,Facebook1,Facebook,23602033.2,400
2/8/2016,Facebook1,Facebook,21197341.8,359
2/15/2016,Facebook1,Facebook,21851745.6,370
2/22/2016,Facebook1,Facebook,33610256.4,569
2/29/2016,Facebook1,Facebook,38843461.8,678
3/7/2016,Facebook1,Facebook,34898631.6,609
3/14/2016,Facebook1,Facebook,22495489.2,392
3/21/2016,Facebook1,Facebook,24058217.4,420
3/28/2016,Facebook1,Facebook,15271064.4,339
4/4/2016,Facebook1,Facebook,25444593.6,564
4/11/2016,Facebook1,Facebook,32745969,726
4/18/2016,Facebook1,Facebook,24202835.4,537
4/25/2016,Facebook1,Facebook,28003822.2,621
5/2/2016,Facebook1,Facebook,33480934.2,850
5/9/2016,Facebook1,Facebook,35890333.8,911
5/16/2016,Facebook1,Facebook,58524199.2,1486
5/23/2016,Facebook1,Facebook,19175613.6,487
5/30/2016,Facebook1,Facebook,13098911.4,390
6/6/2016,Facebook1,Facebook,27891353,830
6/13/2016,Facebook1,Facebook,27425711,816
6/20/2016,Facebook1,Facebook,30123036,896
6/27/2016,Facebook1,Facebook,32621900,820
7/4/2016,Facebook1,Facebook,37508892,943
7/11/2016,Facebook1,Facebook,39184602,985
7/18/2016,Facebook1,Facebook,35294179,887
7/25/2016,Facebook1,Facebook,35647363,896
8/1/2016,Facebook1,Facebook,38707812,1049
8/8/2016,Facebook1,Facebook,41150707,1116
8/15/2016,Facebook1,Facebook,38895030,1054
8/22/2016,Facebook1,Facebook,19441394,527
8/29/2016,Facebook1,Facebook,27162331,632
9/5/2016,Facebook1,Facebook,26886758,626
9/12/2016,Facebook1,Facebook,26214879,610
9/19/2016,Facebook1,Facebook,29697497,691
9/26/2016,Facebook1,Facebook,34183021,859
10/3/2016,Facebook1,Facebook,31870539,801
10/10/2016,Facebook1,Facebook,23804481,598
10/17/2016,Facebook1,Facebook,24184896,608
10/24/2016,Facebook1,Facebook,23638055,594
10/31/2016,Facebook1,Facebook,21161348,574
11/7/2016,Facebook1,Facebook,89430768,2424
11/14/2016,Facebook1,Facebook,122234544,3314
11/21/2016,Facebook1,Facebook,52210320,1415
11/28/2016,Facebook1,Facebook,32212828,749
12/5/2016,Facebook1,Facebook,41168732,958
12/12/2016,Facebook1,Facebook,54170820,1260
12/19/2016,Facebook1,Facebook,55518672,1292
12/26/2016,Facebook1,Facebook,41911348,975
1/2/2017,Facebook1,Facebook,10912086,172
1/9/2017,Facebook1,Facebook,10231860,161
1/16/2017,Facebook1,Facebook,9519178,150
1/23/2017,Facebook1,Facebook,13401302,211
1/30/2017,Facebook1,Facebook,16318632,276
2/6/2017,Facebook1,Facebook,14106654,239
2/13/2017,Facebook1,Facebook,14014633,237
2/20/2017,Facebook1,Facebook,15134096,256
2/27/2017,Facebook1,Facebook,13334472,233
3/6/2017,Facebook1,Facebook,11954530,209
3/13/2017,Facebook1,Facebook,11765278,205
3/20/2017,Facebook1,Facebook,8230923,144
3/27/2017,Facebook1,Facebook,19128060,424
4/3/2017,Facebook1,Facebook,23851755,529
4/10/2017,Facebook1,Facebook,24738892,549
4/17/2017,Facebook1,Facebook,27647322,613
4/24/2017,Facebook1,Facebook,29202961,648
5/1/2017,Facebook1,Facebook,27915843,709
5/8/2017,Facebook1,Facebook,30767131,781
5/15/2017,Facebook1,Facebook,34250167,870
5/22/2017,Facebook1,Facebook,55627875,1413
5/29/2017,Facebook1,Facebook,19743085,587
6/5/2017,Facebook1,Facebook,22644614,674
6/12/2017,Facebook1,Facebook,42158932,1254
6/19/2017,Facebook1,Facebook,15124072,450
6/26/2017,Facebook1,Facebook,27288126,686
7/3/2017,Facebook1,Facebook,12200450,307
7/10/2017,Facebook1,Facebook,12800450,322
7/17/2017,Facebook1,Facebook,6518252,164
7/24/2017,Facebook1,Facebook,6638252,167
7/31/2017,Facebook1,Facebook,35098328,952
8/7/2017,Facebook1,Facebook,10101682,274
8/14/2017,Facebook1,Facebook,14791982,401
8/21/2017,Facebook1,Facebook,0,0
8/28/2017,Facebook1,Facebook,11266676,262
9/4/2017,Facebook1,Facebook,17604380,410
9/11/2017,Facebook1,Facebook,20540846,478
9/18/2017,Facebook1,Facebook,16270458,379
9/25/2017,Facebook1,Facebook,18971402,477
10/2/2017,Facebook1,Facebook,0,0
10/9/2017,Facebook1,Facebook,19855768,499
10/16/2017,Facebook1,Facebook,0,0
10/23/2017,Facebook1,Facebook,20737436,521
10/30/2017,Facebook1,Facebook,14258218,387
11/6/2017,Facebook1,Facebook,39157488,1062
11/13/2017,Facebook1,Facebook,32429356.8,879
11/20/2017,Facebook1,Facebook,20422828.8,554
11/27/2017,Facebook1,Facebook,6884385.6,160
12/4/2017,Facebook1,Facebook,14128684.8,329
12/11/2017,Facebook1,Facebook,60130790.4,1399
12/18/2017,Facebook1,Facebook,84172550.4,1958
12/25/2017,Facebook1,Facebook,32429356.8,754
1/6/2014,Wechat1,Wechat,451,320
1/13/2014,Wechat1,Wechat,462,330
1/20/2014,Wechat1,Wechat,558,400
1/27/2014,Wechat1,Wechat,507,360
2/3/2014,Wechat1,Wechat,609,490
2/10/2014,Wechat1,Wechat,507,410
2/17/2014,Wechat1,Wechat,609,490
2/24/2014,Wechat1,Wechat,546,440
3/3/2014,Wechat1,Wechat,483,320
3/10/2014,Wechat1,Wechat,483,320
3/17/2014,Wechat1,Wechat,653,430
3/24/2014,Wechat1,Wechat,720,470
3/31/2014,Wechat1,Wechat,788,890
4/7/2014,Wechat1,Wechat,518,590
4/14/2014,Wechat1,Wechat,585,660
4/21/2014,Wechat1,Wechat,663,750
4/28/2014,Wechat1,Wechat,740,840
5/5/2014,Wechat1,Wechat,663,810
5/12/2014,Wechat1,Wechat,740,900
5/19/2014,Wechat1,Wechat,663,810
5/26/2014,Wechat1,Wechat,587,720
6/2/2014,Wechat1,Wechat,842,890
6/9/2014,Wechat1,Wechat,2352,2490
6/16/2014,Wechat1,Wechat,1071,1140
6/23/2014,Wechat1,Wechat,893,950
6/30/2014,Wechat1,Wechat,587,670
7/7/2014,Wechat1,Wechat,663,750
7/14/2014,Wechat1,Wechat,663,750
7/21/2014,Wechat1,Wechat,1250,1420
7/28/2014,Wechat1,Wechat,1683,1910
8/4/2014,Wechat1,Wechat,1103,1070
8/11/2014,Wechat1,Wechat,585,570
8/18/2014,Wechat1,Wechat,518,500
8/25/2014,Wechat1,Wechat,518,500
9/1/2014,Wechat1,Wechat,653,600
9/8/2014,Wechat1,Wechat,720,670
9/15/2014,Wechat1,Wechat,788,730
9/22/2014,Wechat1,Wechat,587,540
9/29/2014,Wechat1,Wechat,663,750
10/6/2014,Wechat1,Wechat,663,750
10/13/2014,Wechat1,Wechat,696,790
10/20/2014,Wechat1,Wechat,720,820
10/27/2014,Wechat1,Wechat,735,830
11/3/2014,Wechat1,Wechat,1368,1320
11/10/2014,Wechat1,Wechat,1476,1430
11/17/2014,Wechat1,Wechat,1944,1880
11/24/2014,Wechat1,Wechat,5136,4970
12/1/2014,Wechat1,Wechat,2160,2000
12/8/2014,Wechat1,Wechat,1800,1670
12/15/2014,Wechat1,Wechat,1800,1670
12/22/2014,Wechat1,Wechat,1800,1670
12/29/2014,Wechat1,Wechat,693,640
1/5/2015,Wechat1,Wechat,602,430
1/12/2015,Wechat1,Wechat,627,450
1/19/2015,Wechat1,Wechat,738,530
1/26/2015,Wechat1,Wechat,702,500
2/2/2015,Wechat1,Wechat,819,660
2/9/2015,Wechat1,Wechat,702,560
2/16/2015,Wechat1,Wechat,819,660
2/23/2015,Wechat1,Wechat,966,770
3/2/2015,Wechat1,Wechat,1113,730
3/9/2015,Wechat1,Wechat,903,590
3/16/2015,Wechat1,Wechat,878,580
3/23/2015,Wechat1,Wechat,945,620
3/30/2015,Wechat1,Wechat,1013,1150
4/6/2015,Wechat1,Wechat,743,840
4/13/2015,Wechat1,Wechat,810,920
4/20/2015,Wechat1,Wechat,918,1040
4/27/2015,Wechat1,Wechat,995,1130
5/4/2015,Wechat1,Wechat,918,1120
5/11/2015,Wechat1,Wechat,995,1220
5/18/2015,Wechat1,Wechat,918,1120
5/25/2015,Wechat1,Wechat,842,1030
6/1/2015,Wechat1,Wechat,842,890
6/8/2015,Wechat1,Wechat,1872,1990
6/15/2015,Wechat1,Wechat,1071,1140
6/22/2015,Wechat1,Wechat,1148,1220
6/29/2015,Wechat1,Wechat,842,950
7/6/2015,Wechat1,Wechat,918,1040
7/13/2015,Wechat1,Wechat,1061,1200
7/20/2015,Wechat1,Wechat,1432,1620
7/27/2015,Wechat1,Wechat,2001,2270
8/3/2015,Wechat1,Wechat,1548,1500
8/10/2015,Wechat1,Wechat,1225,1190
8/17/2015,Wechat1,Wechat,1165,1130
8/24/2015,Wechat1,Wechat,743,720
8/31/2015,Wechat1,Wechat,878,810
9/7/2015,Wechat1,Wechat,945,870
9/14/2015,Wechat1,Wechat,1238,1150
9/21/2015,Wechat1,Wechat,1352,1250
9/28/2015,Wechat1,Wechat,1173,1330
10/5/2015,Wechat1,Wechat,918,1040
10/12/2015,Wechat1,Wechat,936,1060
10/19/2015,Wechat1,Wechat,945,1070
10/26/2015,Wechat1,Wechat,945,1070
11/2/2015,Wechat1,Wechat,1728,1670
11/9/2015,Wechat1,Wechat,1836,1780
11/16/2015,Wechat1,Wechat,2304,2230
11/23/2015,Wechat1,Wechat,5616,5430
11/30/2015,Wechat1,Wechat,2520,2330
12/7/2015,Wechat1,Wechat,2268,2100
12/14/2015,Wechat1,Wechat,2376,2200
12/21/2015,Wechat1,Wechat,2484,2300
12/28/2015,Wechat1,Wechat,903,840
1/4/2016,Wechat1,Wechat,755,540
1/11/2016,Wechat1,Wechat,792,560
1/18/2016,Wechat1,Wechat,918,650
1/25/2016,Wechat1,Wechat,897,640
2/1/2016,Wechat1,Wechat,1029,820
2/8/2016,Wechat1,Wechat,897,720
2/15/2016,Wechat1,Wechat,1029,820
2/22/2016,Wechat1,Wechat,966,770
2/29/2016,Wechat1,Wechat,903,590
3/7/2016,Wechat1,Wechat,903,590
3/14/2016,Wechat1,Wechat,1103,720
3/21/2016,Wechat1,Wechat,1395,920
3/28/2016,Wechat1,Wechat,1688,1920
4/4/2016,Wechat1,Wechat,1285,1460
4/11/2016,Wechat1,Wechat,1178,1340
4/18/2016,Wechat1,Wechat,1263,1430
4/25/2016,Wechat1,Wechat,1357,1540
5/2/2016,Wechat1,Wechat,1335,1630
5/9/2016,Wechat1,Wechat,1493,1830
5/16/2016,Wechat1,Wechat,1482,1810
5/23/2016,Wechat1,Wechat,1394,1700
5/30/2016,Wechat1,Wechat,1191,1260
6/6/2016,Wechat1,Wechat,2352,2490
6/13/2016,Wechat1,Wechat,1326,1410
6/20/2016,Wechat1,Wechat,1403,1490
6/27/2016,Wechat1,Wechat,1097,1240
7/4/2016,Wechat1,Wechat,1173,1330
7/11/2016,Wechat1,Wechat,1173,1330
7/18/2016,Wechat1,Wechat,2035,2310
7/25/2016,Wechat1,Wechat,2024,2290
8/1/2016,Wechat1,Wechat,1630,1580
8/8/2016,Wechat1,Wechat,1293,1250
8/15/2016,Wechat1,Wechat,1210,1170
8/22/2016,Wechat1,Wechat,979,950
8/29/2016,Wechat1,Wechat,1103,1020
9/5/2016,Wechat1,Wechat,1170,1080
9/12/2016,Wechat1,Wechat,1463,1350
9/19/2016,Wechat1,Wechat,1688,1560
9/26/2016,Wechat1,Wechat,1612,1830
10/3/2016,Wechat1,Wechat,1372,1550
10/10/2016,Wechat1,Wechat,1358,1540
10/17/2016,Wechat1,Wechat,1359,1540
10/24/2016,Wechat1,Wechat,1362,1540
10/31/2016,Wechat1,Wechat,2226,2150
11/7/2016,Wechat1,Wechat,2196,2120
11/14/2016,Wechat1,Wechat,2664,2580
11/21/2016,Wechat1,Wechat,6096,5900
11/28/2016,Wechat1,Wechat,3240,3000
12/5/2016,Wechat1,Wechat,2988,2770
12/12/2016,Wechat1,Wechat,2736,2530
12/19/2016,Wechat1,Wechat,2844,2630
12/26/2016,Wechat1,Wechat,1113,1030
1/2/2017,Wechat1,Wechat,1199,850
1/9/2017,Wechat1,Wechat,1224,870
1/16/2017,Wechat1,Wechat,1338,950
1/23/2017,Wechat1,Wechat,1330,950
1/30/2017,Wechat1,Wechat,1465,1170
2/6/2017,Wechat1,Wechat,1300,1040
2/13/2017,Wechat1,Wechat,1456,1170
2/20/2017,Wechat1,Wechat,1384,1110
2/27/2017,Wechat1,Wechat,1314,860
3/6/2017,Wechat1,Wechat,1258,830
3/13/2017,Wechat1,Wechat,1714,1130
3/20/2017,Wechat1,Wechat,2004,1320
3/27/2017,Wechat1,Wechat,2082,2360
4/3/2017,Wechat1,Wechat,1638,1860
4/10/2017,Wechat1,Wechat,1675,1900
4/17/2017,Wechat1,Wechat,1845,2090
4/24/2017,Wechat1,Wechat,1930,2190
5/1/2017,Wechat1,Wechat,1899,2320
5/8/2017,Wechat1,Wechat,1882,2300
5/15/2017,Wechat1,Wechat,1852,2260
5/22/2017,Wechat1,Wechat,2335,2850
5/29/2017,Wechat1,Wechat,1352,1430
6/5/2017,Wechat1,Wechat,2832,3000
6/12/2017,Wechat1,Wechat,1581,1680
6/19/2017,Wechat1,Wechat,1658,1760
6/26/2017,Wechat1,Wechat,1352,1530
7/3/2017,Wechat1,Wechat,1428,1620
7/10/2017,Wechat1,Wechat,1428,1620
7/17/2017,Wechat1,Wechat,1760,1990
7/24/2017,Wechat1,Wechat,2066,2340
7/31/2017,Wechat1,Wechat,1553,1500
8/7/2017,Wechat1,Wechat,1260,1220
8/14/2017,Wechat1,Wechat,1193,1150
8/21/2017,Wechat1,Wechat,1193,1150
8/28/2017,Wechat1,Wechat,1328,1230
9/4/2017,Wechat1,Wechat,1395,1290
9/11/2017,Wechat1,Wechat,1463,1350
9/18/2017,Wechat1,Wechat,1352,1250
9/25/2017,Wechat1,Wechat,1428,1620
10/2/2017,Wechat1,Wechat,1428,1620
10/9/2017,Wechat1,Wechat,1416,1600
10/16/2017,Wechat1,Wechat,1395,1580
10/23/2017,Wechat1,Wechat,1365,1550
10/30/2017,Wechat1,Wechat,2448,2370
11/6/2017,Wechat1,Wechat,2556,2470
11/13/2017,Wechat1,Wechat,3384,3270
11/20/2017,Wechat1,Wechat,6096,5900
11/27/2017,Wechat1,Wechat,3960,3660
12/4/2017,Wechat1,Wechat,2988,2770
12/11/2017,Wechat1,Wechat,3096,2870
12/18/2017,Wechat1,Wechat,3564,3300
12/25/2017,Wechat1,Wechat,1323,1220
